File Name,Revision,State (Historical),Created By (sys),Checked In,Comment
822482.ipt,01,Released Production,HN,2019-02-03 18:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822583.iam,02,Released Production,HN,2024-01-31 08:16,
801304.ipt,02,Released Production,HN,2019-02-03 12:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
822584.ipt,03,Released Production,HN,2020-08-13 09:10,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
829806.ipt,00,Released Production,HN,2023-02-10 10:15,
808604.iam,02,Released Production,HN,2019-02-03 16:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807016.ipt,01,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807025.iam,00,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807026.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807187.ipt,01,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807740.ipt,02,Released Production,HN,2022-06-22 11:06,
808556.iam,00,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807028.ipt,01,Released Production,HN,2019-02-03 15:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808620.ipt,02,Released Production,HN,2019-02-03 16:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808893.ipt,01,Released Production,HN,2019-02-03 16:49,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808922.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808558.ipt,03,Released Production,HN,2019-02-03 16:31,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808913.ipt,00,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808914.ipt,00,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808917.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808915.ipt,00,Released,Migrering,2018-12-09 00:34,
808916.ipt,00,Released,Migrering,2018-12-09 00:34,
809099.iam,01,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807286.ipt,02,Released Production,RydSim,2023-06-28 10:07,
808977.ipt,02,Released Production,HN,2019-02-03 16:53,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809098.ipt,00,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809109.ipt,02,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809161.ipt,02,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809162.ipt,02,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808549.ipt,01,Released Production,HN,2019-02-03 16:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808592.iam,06,Released Production,HN,2019-02-03 16:33,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
